,TractFIPS,City
0,48453002422.0,Austin
1,48453000902.0,Austin
2,48453001000.0,Austin
3,48453001822.0,Austin
4,48453001845.0,Austin
5,48453000204.0,Austin
6,48453002108.0,Austin
7,48453001403.0,Austin
8,48453001740.0,Austin
9,48453002109.0,Austin
10,48453002105.0,Austin
11,48453002106.0,Austin
12,48453002107.0,Austin
13,48453002111.0,Austin
14,48453002110.0,Austin
15,48453001738.0,Austin
16,48453000700.0,Austin
17,48453001604.0,Austin
18,48453001100.0,Austin
19,48453002313.0,Austin
20,48453001752.0,Austin
21,48453001753.0,Austin
22,48453001842.0,Austin
23,48453001824.0,Austin
24,48453001820.0,Austin
25,48453001828.0,Austin
26,48453001821.0,Austin
27,48453001818.0,Austin
28,48453001817.0,Austin
29,48453001769.0,Austin
30,48453001813.0,Austin
31,48453001754.0,Austin
32,48453001812.0,Austin
33,48453001811.0,Austin
34,48453001806.0,Austin
35,48453001805.0,Austin
36,48453001804.0,Austin
37,48453001749.0,Austin
38,48453001745.0,Austin
39,48453001751.0,Austin
40,48453001308.0,Austin
41,48453001755.0,Austin
42,48453001911.0,Austin
43,48453001713.0,Austin
44,48453001705.0,Austin
45,48453001706.0,Austin
46,48453001707.0,Austin
47,48453001603.0,Austin
48,48453001605.0,Austin
49,48453000804.0,Austin
50,48453000901.0,Austin
51,48453000603.0,Austin
52,48453000604.0,Austin
53,48453000802.0,Austin
54,48453000803.0,Austin
55,48453000801.0,Austin
56,48453000601.0,Austin
57,48453000500.0,Austin
58,48453000402.0,Austin
59,48453002423.0,Austin
60,48453001718.0,Austin
61,48453001712.0,Austin
62,48453001716.0,Austin
63,48453001823.0,Austin
64,48453001910.0,Austin
65,48453002421.0,Austin
66,48453001849.0,Austin
67,48453000101.0,Austin
68,48453001746.0,Austin
69,48453001819.0,Austin
70,48453002402.0,Austin
71,48453001901.0,Austin
72,48453001843.0,Austin
73,48453001748.0,Austin
74,48453002003.0,Austin
75,48453001737.0,Austin
76,48453001729.0,Austin
77,48453001722.0,Austin
78,48453001728.0,Austin
79,48453002307.0,Austin
80,48453001719.0,Austin
81,48453001747.0,Austin
82,48453001714.0,Austin
83,48453001307.0,Austin
84,48453002315.0,Austin
85,48453001305.0,Austin
86,48453002427.0,Austin
87,48453002317.0,Austin
88,48453002431.0,Austin
89,48453002208.0,Austin
90,48453002425.0,Austin
91,48453001776.0,Austin
92,48453001915.0,Austin
93,48491020408.0,Austin
94,48491020311.0,Austin
95,48453001777.0,Austin
96,48453001757.0,Austin
97,48453001781.0,Austin
98,48453001864.0,Austin
99,48453000206.0,Austin
100,48453002318.0,Austin
101,48453000205.0,Austin
102,48453000307.0,Austin
103,48453000306.0,Austin
104,48453001786.0,Austin
105,48453002500.0,Austin
106,48453001782.0,Austin
107,48453001304.0,Austin
108,48453002424.0,Austin
109,48453001826.0,Austin
110,48453002412.0,Austin
111,48453002411.0,Austin
112,48453002410.0,Austin
113,48453002413.0,Austin
114,48453002419.0,Austin
115,48453000305.0,Austin
